id,name,slug
0,مرکزی,مرکزی
1,گیلان,گیلان
2,مازندران,مازندران
3,آذربایجان شرقی,آذربایجان-شرقی
4,آذربایجان غربی,آذربایجان-غربی
5,کرمانشاه,کرمانشاه
6,خوزستان,خوزستان
7,فارس,فارس
8,کرمان,کرمان
9,خراسان رضوی,خراسان-رضوی
10,اصفهان,اصفهان
11,سیستان و بلوچستان,سیستان-بلوچستان
12,کردستان,کردستان
13,همدان,همدان
14,چهارمحال و بختیاری,چهارمحال-بختیاری
15,لرستان,لرستان
16,ایلام,ایلام
17,کهگیلویه و بویر احمد,کهگیلویه-بویر-احمد
18,بوشهر,بوشهر
19,زنجان,زنجان
20,سمنان,سمنان
21,یزد,یزد
22,هرمزگان,هرمزگان
23,تهران,تهران
24,اردبیل,اردبیل
25,قم,قم
26,قزوین,قزوین
27,گلستان,گلستان
28,خراسان شمالی,خراسان-شمالی
29,خراسان جنوبی,خراسان-جنوبی
30,البرز,البرز